Date, Close/Last, Volume, Open, High, Low
1/8/13,$33.68 ,1283743,$34.50 ,$34.50 ,$33.11 
1/7/13,$34.34 ,441909,$34.80 ,$34.80 ,$33.90 
1/4/13,$34.40 ,673993,$34.80 ,$34.80 ,$33.92 
1/3/13,$34.77 ,741941,$35.18 ,$35.45 ,$34.75 
1/2/13,$35.36 ,1194710,$35 ,$35.45 ,$34.71 
12/31/12,$33.87 ,594846,$33 ,$33.97 ,$33 
12/28/12,$33.22 ,414035,$33.38 ,$33.65 ,$33.02 
12/27/12,$33.69 ,561085,$33.50 ,$33.91 ,$33 
12/26/12,$33.59 ,601384,$33.96 ,$34.50 ,$33.50 
12/24/12,$34.28 ,375796,$33.64 ,$34.35 ,$33.55 
12/21/12,$34 ,1492306,$33.94 ,$34.17 ,$33.58 
12/20/12,$34.43 ,921194,$34.51 ,$34.79 ,$34.05 
12/19/12,$34.61 ,1269531,$34.75 ,$35.26 ,$34.52 
12/18/12,$34.59 ,1553836,$34.26 ,$35.07 ,$34.26 
12/17/12,$34.40 ,824809,$33.77 ,$34.50 ,$33.75 
12/14/12,$33.81 ,1022743,$33.78 ,$34.40 ,$33.59 
12/13/12,$33.61 ,2150624,$35.26 ,$35.30 ,$32.75 
12/12/12,$35.26 ,2063727,$35.21 ,$35.80 ,$34.95 
12/11/12,$35.28 ,1572310,$34.60 ,$35.50 ,$34.46 
12/10/12,$34.57 ,929751,$34.43 ,$34.80 ,$34.18 
12/7/12,$34.17 ,664386,$34.30 ,$34.49 ,$33.85 
12/6/12,$33.90 ,657256,$33.82 ,$34.80 ,$33.50 
12/5/12,$33.71 ,661486,$33.82 ,$34.19 ,$33.58 
12/4/12,$33.90 ,1263240,$34.08 ,$34.80 ,$33.55 
12/3/12,$34.62 ,2085639,$33.89 ,$35 ,$33.50 
11/30/12,$33.82 ,1420284,$33.63 ,$34.28 ,$33.01 
11/29/12,$33.69 ,1103315,$33.44 ,$34 ,$32.87 
11/28/12,$33.23 ,1525199,$32 ,$34.29 ,$31.91 
11/27/12,$32.15 ,910770,$32.13 ,$32.66 ,$31.52 
11/26/12,$32.27 ,495739,$32.10 ,$32.30 ,$31.62 
11/23/12,$32.13 ,430212,$32.60 ,$32.83 ,$31.70 
11/21/12,$32.47 ,963133,$32.61 ,$33.47 ,$32.29 
11/20/12,$33 ,922427,$32.80 ,$33.10 ,$31.91 
11/19/12,$32.92 ,1392168,$32.07 ,$33.25 ,$31.84 
11/16/12,$31.84 ,908650,$31.15 ,$32 ,$30.59 
11/15/12,$30.82 ,983841,$31.30 ,$31.44 ,$30.50 
11/14/12,$31.38 ,871215,$31.96 ,$32.12 ,$31.20 
11/13/12,$31.61 ,998263,$31.29 ,$32 ,$30.72 
11/12/12,$31.07 ,555896,$30.29 ,$31.42 ,$30.16 
11/9/12,$30.32 ,862928,$30.60 ,$30.93 ,$29.85 
11/8/12,$31.31 ,1273986,$31.01 ,$31.88 ,$30.94 
11/7/12,$31.54 ,1714469,$31 ,$32.05 ,$30.81 
11/6/12,$31.15 ,2323743,$30.61 ,$31.20 ,$29.95 
11/5/12,$31.50 ,2048767,$29.80 ,$31.58 ,$29.33 
11/2/12,$28.92 ,1030265,$29.27 ,$29.55 ,$28.55 
11/1/12,$29.25 ,1024054,$28.25 ,$29.49 ,$28.20 
10/31/12,$28.13 ,775142,$27.70 ,$28.35 ,$27.37 
10/26/12,$27.38 ,477305,$27.53 ,$27.80 ,$27.02 
10/25/12,$27.52 ,577686,$27.80 ,$27.80 ,$27.45 
10/24/12,$27.42 ,1016368,$28.52 ,$28.52 ,$27.25 
10/23/12,$28.39 ,748998,$27.38 ,$28.56 ,$27.37 
10/22/12,$27.85 ,470198,$27.99 ,$28 ,$27.36 
10/19/12,$27.74 ,1027302,$27.83 ,$28.20 ,$27.30 
10/18/12,$28.04 ,740947,$28.99 ,$28.99 ,$27.78 
10/17/12,$28.82 ,667963,$28.25 ,$28.84 ,$27.80 
10/16/12,$28.06 ,479248,$27.67 ,$28.09 ,$27.34 
10/15/12,$27.33 ,1468667,$28.02 ,$28.05 ,$26.86 
10/12/12,$27.64 ,987535,$28.32 ,$28.73 ,$27.50 
10/11/12,$28.32 ,450571,$28.94 ,$28.98 ,$28.25 
10/10/12,$28.40 ,503563,$28.39 ,$28.72 ,$28.01 
10/9/12,$28.37 ,1192092,$29.12 ,$29.12 ,$28.25 
10/8/12,$29.25 ,889679,$28.86 ,$29.40 ,$28.61 
10/5/12,$28.89 ,938359,$29.70 ,$29.81 ,$28.68 
10/4/12,$29.40 ,1541207,$30 ,$30.10 ,$28.65 
10/3/12,$29.30 ,1049718,$29.75 ,$29.95 ,$29.24 
10/2/12,$29.80 ,728969,$29.28 ,$29.89 ,$29 
10/1/12,$29.16 ,884305,$29.50 ,$29.89 ,$29 
9/28/12,$29.28 ,4342689,$28.73 ,$29.89 ,$28.61 
9/27/12,$28.49 ,1758153,$27.82 ,$28.54 ,$27.60 
9/26/12,$27.54 ,1527176,$27.66 ,$28.40 ,$27.48 
9/25/12,$27.66 ,5670068,$28.62 ,$29.48 ,$27.53 
9/24/12,$30.66 ,1301404,$29.51 ,$31.03 ,$29.40 
9/21/12,$30.02 ,1869970,$31.10 ,$31.49 ,$29.54 
9/20/12,$30.90 ,912372,$30.93 ,$31.50 ,$30.68 
9/19/12,$31.05 ,1048457,$31 ,$31.74 ,$30.94 
9/18/12,$31.34 ,1788480,$31.88 ,$31.90 ,$30.68 
9/17/12,$32.54 ,3212741,$32.35 ,$32.78 ,$31.51 
9/14/12,$30.39 ,1536569,$30 ,$30.65 ,$29.65 
9/13/12,$29.48 ,1478686,$28.57 ,$29.50 ,$28.48 
9/12/12,$28.28 ,1128834,$27.90 ,$28.58 ,$27.80 
9/11/12,$27.80 ,1014671,$27.76 ,$28.16 ,$27.40 
9/10/12,$27.37 ,1483015,$29.20 ,$29.35 ,$27.30 
9/7/12,$29.35 ,953151,$28.55 ,$29.57 ,$28.50 
9/6/12,$28.55 ,841643,$28 ,$28.90 ,$27.90 
9/5/12,$27.94 ,639227,$28.01 ,$28.50 ,$27.81 
9/4/12,$28.14 ,752496,$28.52 ,$28.99 ,$27.90 
8/31/12,$28.52 ,539736,$28.61 ,$28.84 ,$28.20 
8/30/12,$28.41 ,656307,$28.60 ,$28.74 ,$28.10 
8/29/12,$28.41 ,838883,$28.49 ,$28.64 ,$28.02 
8/28/12,$28.69 ,1402656,$28.40 ,$29.38 ,$28 
8/27/12,$28.32 ,1350325,$29.57 ,$29.70 ,$28.17 
8/24/12,$29.50 ,1429311,$30.06 ,$30.24 ,$29.41 
8/23/12,$30.73 ,1470974,$30 ,$30.85 ,$29.65 
8/22/12,$29.95 ,775490,$29.01 ,$30.04 ,$29.01 
8/21/12,$29.11 ,761516,$29.58 ,$30 ,$29 
8/20/12,$29.51 ,1179008,$30.15 ,$30.39 ,$29.10 
8/17/12,$30.01 ,508122,$30.29 ,$30.71 ,$29.98 
8/16/12,$30.30 ,668973,$29.53 ,$30.39 ,$29.50 
8/15/12,$29.40 ,525385,$29.39 ,$29.70 ,$28.81 
8/14/12,$29.42 ,793336,$30.75 ,$31.17 ,$29.26 
8/13/12,$31.17 ,870050,$29.69 ,$31.30 ,$29.10 
8/10/12,$29.94 ,707390,$29.31 ,$29.94 ,$29.31 
8/9/12,$29.41 ,671608,$29.52 ,$30 ,$29.13 
8/8/12,$29.09 ,1308895,$29.90 ,$30 ,$28.59 
8/7/12,$30.25 ,2387184,$28.77 ,$30.90 ,$28.50 
8/6/12,$28.27 ,1528169,$27.55 ,$28.70 ,$27.55 
8/3/12,$27.27 ,1209470,$26.90 ,$27.55 ,$26.74 
8/2/12,$26.10 ,1305016,$26.84 ,$26.85 ,$25.52 
8/1/12,$26.25 ,1591988,$27.99 ,$27.99 ,$26.03 
7/31/12,$27.42 ,1575060,$27.54 ,$27.97 ,$27.35 
7/30/12,$27.35 ,2065200,$29.51 ,$30.25 ,$27.21 
7/27/12,$29.51 ,1672968,$28.71 ,$29.66 ,$28.10 
7/26/12,$28.13 ,2262205,$29.90 ,$30 ,$27.64 
7/25/12,$28.95 ,2821466,$29.92 ,$29.98 ,$28.75 
7/24/12,$29.84 ,1500251,$30.66 ,$31.04 ,$29.62 
7/23/12,$30.66 ,1386643,$31.05 ,$31.30 ,$30.62 
7/20/12,$31.79 ,1568466,$32.07 ,$32.25 ,$31.25 
7/19/12,$32.27 ,1435878,$32.72 ,$33.15 ,$32.04 
7/18/12,$32.15 ,2881884,$31.42 ,$33.67 ,$31.06 
7/17/12,$33.35 ,2569213,$35 ,$35.21 ,$32.38 
7/16/12,$35.96 ,1743908,$34.32 ,$36 ,$33.90 
7/13/12,$34.25 ,1304512,$32.97 ,$34.40 ,$32.83 
7/12/12,$32.70 ,1125670,$31.29 ,$33.01 ,$30.80 
7/11/12,$31.51 ,638516,$31.57 ,$31.68 ,$31.01 
7/10/12,$31.27 ,758352,$31.54 ,$32.48 ,$30.89 
7/9/12,$31.49 ,906915,$30.94 ,$31.83 ,$30.67 
7/6/12,$30.99 ,784461,$30.99 ,$31.73 ,$30.80 
7/5/12,$31.23 ,1253766,$30.81 ,$31.67 ,$30.80 
7/3/12,$30.66 ,947128,$30.60 ,$31 ,$30.40 
7/2/12,$30.40 ,1307529,$31.35 ,$31.80 ,$30.19 
6/29/12,$31.29 ,1125704,$32.80 ,$32.80 ,$31 
6/28/12,$31.41 ,914040,$31.90 ,$32.11 ,$30.62 
6/27/12,$31.96 ,1047194,$31.90 ,$32.45 ,$31.57 
6/26/12,$31.61 ,2613849,$32.05 ,$32.35 ,$31.39 
6/25/12,$33.11 ,1495174,$33.94 ,$34.12 ,$32.75 
6/22/12,$33.79 ,3009780,$32.60 ,$33.98 ,$32.46 
6/21/12,$32.19 ,1889095,$34.26 ,$34.28 ,$31.84 
6/20/12,$33.78 ,3422342,$33.50 ,$34.50 ,$33.21 
6/19/12,$32.09 ,910829,$32.02 ,$32.66 ,$31.50 
6/18/12,$31.84 ,1256796,$29.94 ,$32.33 ,$29.50 
